user_id,TDCNN,XGBoost,KNN,SVM
544,0.7859766277128547,0.6764607679465776,0.6023372287145242,0.6721202003338899
546,0.7245804540967423,0.6110562685093781,0.5819348469891412,0.6115498519249754
557,0.8369723435225619,0.8311499272197962,0.7826297913634158,0.8243571081999029
575,0.9155629139072847,0.8554083885209713,0.7803532008830022,0.8233995584988962
489,0.897228144989339,0.8656716417910447,0.7918976545842218,0.8601279317697228
574,0.8266468548786527,0.7830609212481426,0.7444279346210996,0.8137691926696384
538,0.8745795290725613,0.7914464199903892,0.7212878423834694,0.786641037962518
541,0.77822257806245,0.6965572457966374,0.6521216973578863,0.6981585268214572
478,0.8447313328681089,0.7274947662247034,0.6838799720865317,0.7400558269364969
475,0.9067024128686327,0.8477211796246649,0.7753351206434317,0.8412868632707775
479,0.8564885496183207,0.7134860050890586,0.6783715012722646,0.7073791348600509
472,0.7798833819241983,0.6956997084548106,0.6377551020408163,0.7004373177842566
469,0.7374765604071792,0.667827484596839,0.6169300830431288,0.667291722475221
502,0.8169157608695652,0.7618885869565217,0.7265625,0.7632472826086957
511,0.8338509316770186,0.7853260869565217,0.7305900621118012,0.7837732919254659
529,0.8094405594405595,0.6722027972027972,0.6359265734265734,0.6844405594405595
569,0.6800717213114754,0.6401127049180327,0.6211577868852459,0.6460040983606558
596,0.8302455838000862,0.6691081430417923,0.7005601034037053,0.6548901335631193
525,0.8767306833407771,0.8387673068334077,0.7534613666815543,0.8414470745868692
556,0.6626506024096386,0.5963855421686747,0.5903614457831325,0.5903614457831325
535,0.7262406746675316,0.6568277651638015,0.6133636068764191,0.6775867661368796
583,0.7325011145786893,0.6469014712438698,0.6330806954971021,0.6602764155149353
491,0.8945327646374563,0.8100038774718883,0.7398216362931369,0.8084528887165569
526,0.7160831509846827,0.637308533916849,0.5921772428884027,0.6342997811816192
515,0.6491358024691358,0.5503703703703704,0.5350617283950617,0.5696296296296296
490,0.7829632985953784,0.678749433620299,0.6461259628454916,0.6810149524241051
486,0.8278656889231957,0.7854110382091857,0.7352373600926283,0.7915862601312235
591,0.9062330623306233,0.7826558265582656,0.7382113821138211,0.7989159891598916
595,0.7829457364341085,0.7710196779964222,0.7203339296362552,0.7626714370900417
496,0.5628517823639775,0.4712945590994371,0.4724202626641651,0.4712945590994371
